"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061134","peptidase regulator activity","49/4553","237/18706",0.206751054852321,0.849436686155834,-1.32304639964664,0.921152552474038,1,1,"NLRC4/SERPINA1/RECK/UCHL5/APH1A/CARD8/CLPX/GAPDH/CD109/APAF1/SERPING1/USP14/TIMP1/NLRP1/NLRP3/PI3/NKX3-1/BIN1/BIRC6/SLPI/ROCK2/BCL2L13/SERPINB2/SPINK1/ATP2A3/CST7/PRNP/SERPINB9/ADRM1/NLRP12/SSPOP/CST3/CSTB/MAPK12/PSME1/CST6/FURIN/DMWD/AIM2/CASP8AP2/SERPINE1/RENBP/ITIH1/SERPINH1/VCP/THBS1/LXN/LTF/ABCA2",49
"GO:0004364","glutathione transferase activity","4/4553","27/18706",0.148148148148148,0.608666650397377,-1.15413167237974,0.923243512518487,1,1,"LANCL1/PTGES/LTC4S/GSTK1",4
"GO:0004683","calcium/calmodulin-dependent protein kinase activity","4/4553","27/18706",0.148148148148148,0.608666650397377,-1.15413167237974,0.923243512518487,1,1,"CAMK1G/MAPKAPK2/MAPKAPK5/MAPKAPK3",4
"GO:0043548","phosphatidylinositol 3-kinase binding","4/4553","27/18706",0.148148148148148,0.608666650397377,-1.15413167237974,0.923243512518487,1,1,"IGF1R/HCST/CBL/CALM3",4
"GO:0005254","chloride channel activity","15/4553","82/18706",0.182926829268293,0.751554857960176,-1.27880516592749,0.924199520541633,1,1,"BEST4/CLCN7/TTYH2/CLCN3/ANO8/ANO9/SLC26A6/MFSD8/CLCC1/CLCN6/CLIC1/CLCN5/SLC26A11/TTYH3/ANO6",15
"GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","9/4553","53/18706",0.169811320754717,0.697669792672466,-1.25011095110175,0.925756729795216,1,1,"DHRS3/ADH5/KCNAB1/SORD/RDH14/RDH11/CBR1/KCNAB2/KCNAB3",9
"GO:0003777","microtubule motor activity","12/4553","68/18706",0.176470588235294,0.725029392385111,-1.28838157112071,0.928015176572059,1,1,"DNAH17/KIFC3/DYNC1H1/KIF2A/SMC3/KIFC2/KIF16B/KIF23/DNAI2/DYNC1I2/KIF11/APPBP2",12
"GO:0015385","sodium:proton antiporter activity","2/4553","16/18706",0.125,0.513562486272787,-1.10404259390245,0.929197959342672,1,1,"SLC9A3/SLC9A8",2
"GO:0022858","alanine transmembrane transporter activity","2/4553","16/18706",0.125,0.513562486272787,-1.10404259390245,0.929197959342672,1,1,"SLC3A2/SLC38A7",2
"GO:0140829","bicarbonate:monoatomic anion antiporter activity","2/4553","16/18706",0.125,0.513562486272787,-1.10404259390245,0.929197959342672,1,1,"SLC26A6/SLC26A11",2
"GO:0140900","chloride:bicarbonate antiporter activity","2/4553","16/18706",0.125,0.513562486272787,-1.10404259390245,0.929197959342672,1,1,"SLC26A6/SLC26A11",2
"GO:0030246","carbohydrate binding","58/4553","280/18706",0.207142857142857,0.851046405823476,-1.42435386157358,0.934542863369207,1,1,"STBD1/PLOD2/PRG2/CLEC1B/OLR1/SLC2A3/MGAM/GUSB/OS9/CRYBG3/MAN2A2/CD22/HK3/SIGLEC9/GALNT7/GALNT10/ATRN/HK1/KLRD1/GALM/SIGLEC16/VTN/CLEC7A/EGLN2/CLEC5A/SORD/LGALS9/ALKBH3/CD69/DGCR2/CD33/CLEC18A/HLA-DRA/LGALS3/P4HA2/EPM2A/PFKL/CANX/OGFOD1/GPCPD1/LMAN2L/PPP1R3B/G6PD/P3H3/GALNT3/AGL/CEMIP2/MAN2C1/CD302/COLEC12/PTX3/MRC2/GPI/ITIH1/LGALS1/MAG/LY75/CHI3L1",58
"GO:0005200","structural constituent of cytoskeleton","24/4553","126/18706",0.19047619047619,0.782571407653771,-1.388936848884,0.935553016443921,1,1,"ADD2/DBNL/PLEC/EPB41/TUBB2A/TUBB6/ACTB/TLN2/ARPC1B/LMNA/ACTR10/TUBA4A/TUBB4B/SPTAN1/TUBGCP4/TUBA1C/ADD3/YEATS4/TUBD1/VIM/ACTG1/AGRN/ERBIN/MYL9",24
"GO:0016849","phosphorus-oxygen lyase activity","4/4553","28/18706",0.142857142857143,0.586928555740328,-1.24063043592357,0.935947745824363,1,1,"RNASE1/ADCY3/RNASET2/TSEN2",4
"GO:0045499","chemorepellent activity","4/4553","28/18706",0.142857142857143,0.586928555740328,-1.24063043592357,0.935947745824363,1,1,"SEMA3B/SEMA3F/SEMA6B/SEMA4B",4
"GO:0098960","postsynaptic neurotransmitter receptor activity","4/4553","28/18706",0.142857142857143,0.586928555740328,-1.24063043592357,0.935947745824363,1,1,"CHRNA10/CHRNB1/CHRNE/ANXA9",4
"GO:0099604","ligand-gated calcium channel activity","4/4553","28/18706",0.142857142857143,0.586928555740328,-1.24063043592357,0.935947745824363,1,1,"MCOLN1/ITPR2/ITPR1/P2RX4",4
"GO:0019199","transmembrane receptor protein kinase activity","14/4553","79/18706",0.177215189873418,0.728088588133572,-1.37364007111283,0.938178027289488,1,1,"BMPR2/IGF1R/FGFR1/MET/EPHA1/FLT3/EFNA4/FGFRL1/LTBP4/EPHB4/EPHB3/ACVR2A/FLT1/AXL",14
"GO:0033293","monocarboxylic acid binding","14/4553","79/18706",0.177215189873418,0.728088588133572,-1.37364007111283,0.938178027289488,1,1,"FABP5/PPARD/ADH5/STARD5/PCCA/ID3/MCCC1/VDR/PPARG/RARA/ACOX1/TMEM175/NAPEPLD/PRR7",14
"GO:0061135","endopeptidase regulator activity","40/4553","200/18706",0.2,0.821699978036459,-1.43784987392489,0.93838717934779,1,1,"NLRC4/SERPINA1/RECK/UCHL5/APH1A/CARD8/GAPDH/CD109/APAF1/SERPING1/USP14/TIMP1/NLRP1/NLRP3/PI3/BIN1/BIRC6/SLPI/ROCK2/SERPINB2/SPINK1/CST7/PRNP/SERPINB9/ADRM1/NLRP12/CST3/CSTB/PSME1/CST6/FURIN/AIM2/SERPINE1/RENBP/ITIH1/SERPINH1/THBS1/LXN/LTF/ABCA2",40
"GO:0005337","nucleoside transmembrane transporter activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"SLC29A3",1
"GO:0015143","urate transmembrane transporter activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"SLC29A3",1
"GO:0016594","glycine binding","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"GRIN3A",1
"GO:0019531","oxalate transmembrane transporter activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"SLC26A6",1
"GO:0031956","medium-chain fatty acid-CoA ligase activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"ACSM1",1
"GO:0031957","very long-chain fatty acid-CoA ligase activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"SLC27A1",1
"GO:0042799","histone H4K20 methyltransferase activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"NSD1",1
"GO:0047429","nucleoside triphosphate diphosphatase activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"NUDT16",1
"GO:0050656","3'-phosphoadenosine 5'-phosphosulfate binding","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"SULT1A1",1
"GO:0070739","protein-glutamic acid ligase activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"TPGS1",1
"GO:0070740","tubulin-glutamic acid ligase activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"TPGS1",1
"GO:0099508","voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"KCNA2",1
"GO:0140135","mechanosensitive monoatomic cation channel activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"TMEM63B",1
"GO:1901702","salt transmembrane transporter activity","1/4553","10/18706",0.1,0.41084998901823,-1.0569512787168,0.938575796000833,1,1,"SLC29A3",1
"GO:0008376","acetylgalactosaminyltransferase activity","5/4553","34/18706",0.147058823529412,0.604191160320926,-1.3101860059063,0.941860408487001,1,1,"B3GALNT2/GALNT7/GALNT10/CHSY1/GALNT3",5
"GO:0005315","phosphate transmembrane transporter activity","3/4553","23/18706",0.130434782608696,0.535891290023778,-1.26317568743824,0.943508177469254,1,1,"SLC37A1/SLC25A3/XPR1",3
"GO:0005347","ATP transmembrane transporter activity","2/4553","17/18706",0.117647058823529,0.483352928256741,-1.20872868579733,0.943639282936862,1,1,"SLC25A17/SLC35B1",2
"GO:0008569","minus-end-directed microtubule motor activity","2/4553","17/18706",0.117647058823529,0.483352928256741,-1.20872868579733,0.943639282936862,1,1,"DNAH17/DYNC1H1",2
"GO:0009881","photoreceptor activity","2/4553","17/18706",0.117647058823529,0.483352928256741,-1.20872868579733,0.943639282936862,1,1,"OPN3/GPR88",2
"GO:0003785","actin monomer binding","4/4553","29/18706",0.137931034482759,0.566689640025144,-1.32448773286816,0.946711097674892,1,1,"MTSS1/TMSB4X/MRTFA/PFN1",4
"GO:0005217","intracellularly ligand-gated monoatomic ion channel activity","4/4553","29/18706",0.137931034482759,0.566689640025144,-1.32448773286816,0.946711097674892,1,1,"MCOLN1/ITPR2/ITPR1/CNGB1",4
