"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"H2BC21",369.461817614294,1.14479283411079,0.246562187559223,4.64301864549211,3.43355351292239e-06,4.99981449498038e-05
"ADORA2B",190.18385507375,2.05811934559343,0.444048027035901,4.63490257874074,3.57105619045672e-06,5.17049515627978e-05
"MIR661",2.86108148035525,4.10223716736273,0.885521965319294,4.63256398827281,3.61164653351715e-06,5.22079018353962e-05
"CAHM",34.5864871797725,1.40916113744508,0.304328977240115,4.63038764899884,3.64981781140932e-06,5.26743123947569e-05
"CYCSP52",4.71654545625948,3.15734352427964,0.682188359415283,4.6282576955518,3.68754982831798e-06,5.31758398039904e-05
"LANCL2",311.877806339265,1.08362261219143,0.234165022235484,4.6276023713811,3.69923389538594e-06,5.32582197142005e-05
"SLC7A11",21.5328375637737,2.99276870672932,0.648480871748425,4.61504546565924,3.93009270994427e-06,5.62189204169895e-05
"PEX11A",7.6353742691377,-2.3888885235791,0.517691106675346,-4.61450562463925,3.9403210488864e-06,5.62749774780109e-05
"NEU4",223.263004225619,3.62241101615554,0.785632902537583,4.61081887539995,4.01085888703496e-06,5.71908080151316e-05
"LRG1",374.867943420389,1.18409378092972,0.257382567402871,4.60052051262783,4.21436515076574e-06,5.98057641681459e-05
"TMEM81",16.5938754192821,-1.31503029468833,0.286081579853735,-4.59669684207093,4.2924145098256e-06,6.07683254176739e-05
"CCL7",66.6465753880362,6.13781545407177,1.33551530268665,4.59584060304242,4.31008102468943e-06,6.09217316310698e-05
"HSPA1L",42.353734107763,-1.11743043996923,0.243175068701869,-4.59516859986659,4.32399503265992e-06,6.10700106037907e-05
"HAPLN3",74.1251860083258,1.50757959403711,0.328149266830355,4.59418851853321,4.34436506385239e-06,6.13091645640814e-05
"C14ORF119",160.373086472468,-1.17154222121618,0.255022673770115,-4.59387474806354,4.35090588303702e-06,6.13529321277584e-05
"P2RY1",128.848923685964,1.32618509638203,0.288982014285546,4.58916136930106,4.45030306502469e-06,6.24299650893778e-05
"RTP5",6.30534370059463,4.91149024435909,1.07025318312129,4.58909192872962,4.45178358524995e-06,6.24299650893778e-05
"LTF",23.4497112425336,4.66114584136147,1.01589285396883,4.58822583813989,4.47028891692265e-06,6.26402307148988e-05
