"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","11/2256","47/9382",0.234042553191489,0.973309944167798,-0.103207784814099,0.597202379154533,0.849919814152932,0.849919814152932,"ADH5/PKM/DLAT/PDHB/ALDH3A2/ALDH9A1/ME2/ALDH1B1/ACYP1/ALDH2/ACSS1",11
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","30/2256","128/9382",0.234375,0.974692486702128,-0.16220376012774,0.598602949462937,0.849919814152932,0.849919814152932,"PDE2A/NUDT9/AMPD2/RRM2/AK2/ADA/ADCY3/IMPDH1/ENTPD1/NUDT16/PGM2/AK6/PRUNE1/GMPS/PDE1B/PPAT/PDE4B/PDE6A/GART/GUK1/NME6/PDE4A/ENTPD4/PDE4D/DCK/NUDT2/ENTPD2/NTPCR/PNP/HDDC2",30
"Organismal Systems","Nervous system","hsa04730","Long-term depression","14/2256","60/9382",0.233333333333333,0.970360520094563,-0.129587425293923,0.601204938820808,0.849919814152932,0.849919814152932,"IGF1R/ARAF/NRAS/PPP2CA/GNAI3/ITPR2/PPP2CB/GNA13/MAPK1/ITPR1/RAF1/LYN/GNA12/CACNA1A",14
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","36/2256","154/9382",0.233766233766234,0.972160817905499,-0.195990150240792,0.608813791714805,0.849919814152932,0.849919814152932,"CAMK1G/ADCY3/PRKACB/CCND1/PIK3R6/NRAS/PRKAA1/CALM2/ACTB/PPP1CB/ELK1/ROCK2/MEF2C/GNAI3/ITPR2/FOS/CACNB3/CACNA2D3/CDKN1A/PTGS2/MAPK1/PPP1R12C/CALM3/ITPR1/KCNJ2/PPP1R12A/MAPK7/RHOA/ACTG1/SRC/PIK3R5/RAF1/PPP3CB/PPP1CC/RCAN1/MYL9",36
"Metabolism","Metabolism of other amino acids","hsa00450","Selenocompound metabolism","4/2256","17/9382",0.235294117647059,0.978514810179391,-0.0498862629410649,0.612603565408221,0.849919814152932,0.849919814152932,"KYAT3/MTR/SEPHS2/MARS2",4
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","4/2256","17/9382",0.235294117647059,0.978514810179391,-0.0498862629410649,0.612603565408221,0.849919814152932,0.849919814152932,"CA2/GLUL/CA4/CA5B",4
"Genetic Information Processing","Information processing in viruses","hsa03273","Virion - Lassa virus and SFTS virus","4/2256","17/9382",0.235294117647059,0.978514810179391,-0.0498862629410649,0.612603565408221,0.849919814152932,0.849919814152932,"LAMP1/DAG1/TFRC/MYH10",4
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","16/2256","69/9382",0.231884057971014,0.96433343611882,-0.167306271908085,0.612620264902256,0.849919814152932,0.849919814152932,"HDAC2/GRIN3A/ARC/STX1A/PRKACB/CALM2/PPP1CB/CREB1/FOS/CALM3/PPP3CB/PPP1CC/SLC6A3/ATF4/ATF2/GRIN2C",16
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","9/2256","39/9382",0.230769230769231,0.959697217675941,-0.141904237574741,0.617698382075585,0.850414942267398,0.850414942267398,"AHCYL2/ALDH1L2/MAT2B/MTHFD2/AHCYL1/GART/MTR/MTHFD2L/MTHFR",9
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","12/2256","52/9382",0.230769230769231,0.959697217675941,-0.163971015185028,0.618202212309039,0.850414942267398,0.850414942267398,"VAPA/NPC2/APOA2/ANGPTL8/VDAC2/OSBPL5/VDAC3/ABCA1/APOE/LDLR/STARD3/LRP1",12
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","15/2256","65/9382",0.230769230769231,0.959697217675941,-0.183453020268442,0.620245655898729,0.850414942267398,0.850414942267398,"PNPLA2/GLYCTK/GPAM/ALDH3A2/DGAT1/MBOAT1/ALDH9A1/DGKD/PLPP3/AGPAT5/DGKA/ALDH1B1/DGAT2/ALDH2/LPIN1",15
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","36/2256","155/9382",0.232258064516129,0.965888812628689,-0.240937074285804,0.62602744742786,0.854231059049622,0.854231059049622,"DVL1/ADCY3/PRKACB/E2F1/RB1/CCND1/NR4A1/FZD2/KMT2A/WNT5A/TCF7L1/CREB1/CTNNB1/RBBP5/GNAI3/ITPR2/ASH2L/APC/FZD7/DVL3/SP1/CDKN1A/CDKN2A/MAPK1/AHR/CDKN1B/ARMC5/ITPR1/CACNA1G/FZD4/CDK6/LDLR/ATF4/ATF2/WDR5B/WNT5B",36
