"STRING_ID","Degree","Betweenness","gene"
"9606.ENSP00000246657",54,998.197089032894,"CCR7"
"9606.ENSP00000246672",8,41.6227721802994,"NR1D1"
"9606.ENSP00000247933",1,0,"IDUA"
"9606.ENSP00000248098",1,0,"JPT2"
"9606.ENSP00000248121",6,862.773264020949,"SYNGR3"
"9606.ENSP00000248244",16,12.7754493537052,"TICAM1"
"9606.ENSP00000249075",39,921.472726656845,"LIF"
"9606.ENSP00000249330",4,20.386685290356,"VGF"
"9606.ENSP00000249750",2,936,"ALDH1A2"
"9606.ENSP00000250699",1,0,"CHRNA10"
"9606.ENSP00000250974",3,91.2622180732855,"ABHD17A"
"9606.ENSP00000251102",3,51.7130999141519,"CNGB1"
"9606.ENSP00000251203",3,0,"PBX4"
"9606.ENSP00000251582",5,12.8533237532806,"ADAMTS2"
"9606.ENSP00000252483",12,847.91378927005,"NECTIN2"
"9606.ENSP00000252486",63,8557.45303428453,"APOE"
"9606.ENSP00000252809",24,2272.64773108868,"GDF15"
"9606.ENSP00000253122",4,26.2222708780417,"SLC6A8"
"9606.ENSP00000253496",8,871.292064765436,"F12"
"9606.ENSP00000253727",5,0,"NR1H2"
"9606.ENSP00000254657",13,355.150670660319,"PER2"
"9606.ENSP00000254667",6,1179.93620644389,"PTPRE"
"9606.ENSP00000254770",1,0,"LANCL2"
"9606.ENSP00000254846",14,1444.25133120056,"KDM6B"
"9606.ENSP00000254900",7,1214.11920953477,"BRD8"
"9606.ENSP00000254958",36,4015.22487748546,"JAG1"
"9606.ENSP00000255266",2,36.9721700852701,"PDE6A"
"9606.ENSP00000255409",14,116.40127681031,"CHI3L1"
"9606.ENSP00000255465",23,1400.64394040907,"CCNA1"
"9606.ENSP00000255945",9,529.537968761336,"GIMAP4"
"9606.ENSP00000256196",13,2011.74766208346,"RRAS2"
"9606.ENSP00000256458",23,398.973915406215,"IRAK2"
"9606.ENSP00000256495",13,638.40485277475,"BHLHE40"
"9606.ENSP00000256538",2,130.580588874847,"DPH6"
"9606.ENSP00000256951",4,846.763801849699,"EMP1"
"9606.ENSP00000257264",5,874.424242463979,"TCN1"
"9606.ENSP00000257570",17,1711.11501985217,"OASL"
"9606.ENSP00000257696",3,82.0075109731913,"HILPDA"
"9606.ENSP00000257934",20,1164.74408352364,"ESPL1"
"9606.ENSP00000259206",50,653.536270655189,"IL1RN"
"9606.ENSP00000259874",17,1251.58865569838,"IER3"
"9606.ENSP00000259883",6,240.855459016989,"PGBD1"
"9606.ENSP00000260126",4,36.7500605992128,"SLCO5A1"
"9606.ENSP00000260187",5,16.9074092713115,"USP2"
"9606.ENSP00000260356",53,5114.60936083787,"THBS1"
"9606.ENSP00000260363",28,3849.92094719221,"KIF23"
"9606.ENSP00000261024",8,159.620055502085,"SLC40A1"
"9606.ENSP00000261479",7,1423.29479715021,"PSMA6"
"9606.ENSP00000261597",21,881.665562835792,"NDC80"
"9606.ENSP00000261622",8,457.772857328569,"SLC7A5"
"9606.ENSP00000261800",2,74.4793140038612,"FAT2"
"9606.ENSP00000261845",6,187.001603064421,"MAPK6"
"9606.ENSP00000261867",2,0,"SLC30A4"
"9606.ENSP00000261921",6,70.6602153896658,"LOXL1"
"9606.ENSP00000262198",2,17.1370345302507,"ADNP2"
"9606.ENSP00000262259",1,0,"ZNF175"
"9606.ENSP00000262395",15,921.912516843742,"TRAF4"
"9606.ENSP00000262776",8,165.695194708778,"LGALS3BP"
"9606.ENSP00000262958",20,1600.37667660086,"GNA15"
"9606.ENSP00000262962",2,0,"YJU2"
"9606.ENSP00000263056",13,86.2513913399943,"MAP3K8"
"9606.ENSP00000263339",73,788.707395987029,"IL1A"
"9606.ENSP00000263341",161,17219.2585596969,"IL1B"
"9606.ENSP00000263464",35,1680.25441037319,"BIRC3"
"9606.ENSP00000263851",55,801.650410785296,"IL7"
"9606.ENSP00000264192",9,288.678095827119,"CYTIP"
"9606.ENSP00000264246",74,2704.41963640378,"CD80"
"9606.ENSP00000264257",8,936,"IL1RL2"
"9606.ENSP00000264400",4,946.767174090726,"RASGEF1B"
"9606.ENSP00000264436",5,570.492035553952,"ADD2"
"9606.ENSP00000264444",7,703.919830637125,"MXD1"
"9606.ENSP00000264613",19,3208.4800846843,"CP"
"9606.ENSP00000264634",36,1948.81615605104,"WNT5A"
"9606.ENSP00000264716",23,1504.34201550856,"FOSL2"
"9606.ENSP00000264808",3,956.117613866623,"PRDM5"
"9606.ENSP00000264832",91,2401.49520747382,"ICAM1"
"9606.ENSP00000264864",6,441.170162177253,"SEPSECS-AS1"
"9606.ENSP00000264908",2,1.94203784242706,"ANXA3"
"9606.ENSP00000264938",12,1270.23059215631,"SLC9A3"
"9606.ENSP00000265350",3,14.617573930962,"MED20"
"9606.ENSP00000265354",29,3890.20675280695,"SRF"
"9606.ENSP00000265598",4,0,"LAMP3"
"9606.ENSP00000265605",3,257.182806995221,"ALDH8A1"
"9606.ENSP00000265723",5,856.045284495478,"ABCB4"
"9606.ENSP00000265896",6,329.657030114971,"SQLE"
"9606.ENSP00000266068",2,31.4427390359699,"GMEB2"
"9606.ENSP00000266458",7,884.139946674847,"GABARAPL1"
"9606.ENSP00000266546",4,345.042635042148,"CLSTN3"
"9606.ENSP00000266671",5,714.154871871542,"PHLDA1"
"9606.ENSP00000267082",22,468.733507643195,"ITGB7"
"9606.ENSP00000267953",33,2359.78884733418,"BCL2A1"
"9606.ENSP00000267984",1,0,"TLNRD1"
"9606.ENSP00000268150",11,1883.21769166525,"MFGE8"
"9606.ENSP00000268533",6,2957.48917862938,"NUDT7"
"9606.ENSP00000269216",16,2209.37994754557,"GATA6"
"9606.ENSP00000270115",2,7.52946321897935,"LRRC56"
"9606.ENSP00000270221",2,9.17071635495564,"EMP3"
"9606.ENSP00000270328",6,856.309942186221,"ADAMTS10"
"9606.ENSP00000270349",12,2654.40081720676,"SLC6A3"
"9606.ENSP00000271064",2,9.71877057670454,"TINAGL1"
"9606.ENSP00000271588",4,188.283777780678,"HMCN1"
"9606.ENSP00000272928",6,528.683658734864,"ACKR3"
"9606.ENSP00000273153",4,76.2724647052086,"CSRNP1"
"9606.ENSP00000273179",3,138.867202142213,"CTDSPL"
"9606.ENSP00000273320",3,309.505111442087,"ZKSCAN7"
"9606.ENSP00000273359",2,40.5182874327565,"ABHD10"
"9606.ENSP00000273371",1,0,"PLA1A"
"9606.ENSP00000273550",11,621.764299891465,"FTH1"
"9606.ENSP00000274457",5,446.857048377893,"FEM1C"
"9606.ENSP00000275015",15,99.1093027073882,"NFKBIE"
"9606.ENSP00000275532",1,0,"KCTD7"
"9606.ENSP00000275815",14,839.875220605148,"EPHA1"
"9606.ENSP00000276052",7,170.417819747416,"CDK16"
"9606.ENSP00000276297",4,1240.62599929724,"DLC1"
"9606.ENSP00000276416",8,452.83905257249,"BIN3"
"9606.ENSP00000276914",10,591.7259449394,"PLIN2"
"9606.ENSP00000278071",2,936,"ITPRIP"
"9606.ENSP00000278317",7,28.0059566648434,"TNNT3"
"9606.ENSP00000278379",18,3035.9934966095,"SLC1A2"
"9606.ENSP00000278407",14,338.003097277459,"SERPING1"
"9606.ENSP00000279022",12,1403.22199345702,"MYL9"
"9606.ENSP00000279488",22,1791.50152466484,"DUSP6"
"9606.ENSP00000279873",7,342.856878707864,"ARID5B"
"9606.ENSP00000280200",21,808.78051784663,"CD226"
"9606.ENSP00000280612",7,345.359535510418,"SLC7A11"
"9606.ENSP00000280614",6,207.254624751394,"NOCT"
"9606.ENSP00000282111",8,37.78905938543,"TCF7L1"
"9606.ENSP00000282276",3,68.3085146453438,"MARS2"
"9606.ENSP00000282397",39,1658.33477995092,"FLT1"
"9606.ENSP00000282903",11,476.056351998856,"PLOD2"
"9606.ENSP00000283147",17,292.466378350277,"BMP6"
"9606.ENSP00000284987",17,633.385199909095,"ADAMTS5"
"9606.ENSP00000285199",2,12.7939279092039,"USP43"
"9606.ENSP00000285670",7,160.688241338104,"SAMSN1"
"9606.ENSP00000286201",15,200.138256426764,"FZD7"
"9606.ENSP00000286918",2,936,"ANKRD9"
"9606.ENSP00000287820",85,17875.7230108236,"PPARG"
"9606.ENSP00000288167",6,10.5102584780926,"IL17RB"
"9606.ENSP00000288840",12,60.6912602635557,"SMAD6"
"9606.ENSP00000288943",14,258.753561408787,"DUSP2"
"9606.ENSP00000289388",2,29.3030850340364,"CATIP"
"9606.ENSP00000289805",1,0,"SPATA2L"
"9606.ENSP00000290200",18,18.272138827182,"IL10RB"
"9606.ENSP00000290691",4,960.341068570844,"RGL4"
"9606.ENSP00000290866",36,2646.30197441197,"ACE"
"9606.ENSP00000291495",7,251.405345122414,"CILP2"
"9606.ENSP00000292079",3,182.261234327542,"FXYD2"
"9606.ENSP00000292301",55,1544.05091578759,"CCR2"
"9606.ENSP00000292303",68,7429.23506835124,"CCR5"
"9606.ENSP00000292779",1,0,"CCDC116"
"9606.ENSP00000293190",5,138.310851958046,"GRIN2C"
"9606.ENSP00000293404",1,0,"NAGS"
"9606.ENSP00000293662",2,440.989358540686,"TAMALIN"
"9606.ENSP00000293778",27,22.3945717312168,"CXCL16"
"9606.ENSP00000293780",5,957.842003766466,"CHRNE"
"9606.ENSP00000294454",2,1.03076923076923,"SLC25A34"
"9606.ENSP00000295124",1,0,"CCDC138"
"9606.ENSP00000295190",1,0,"SLC16A14"
"9606.ENSP00000295314",7,167.668103785083,"TMOD4"
"9606.ENSP00000295619",9,97.9161917392686,"PROK2"
"9606.ENSP00000295683",34,238.426866246833,"CXCR1"
"9606.ENSP00000295767",8,504.880400741431,"CHCHD4"
"9606.ENSP00000295797",11,4019.66720378933,"PRKCI"
"9606.ENSP00000295927",23,375.715100603157,"PTX3"
"9606.ENSP00000295987",22,6248.30575221543,"SYN1"
"9606.ENSP00000296026",40,45.7804178516155,"CXCL3"
"9606.ENSP00000296027",45,72.1382860308107,"CXCL5"
"9606.ENSP00000296129",4,825.129675706507,"CDCP1"
"9606.ENSP00000296140",41,351.468832518716,"CCR1"
"9606.ENSP00000296215",4,1134.41523293256,"SNIP1"
"9606.ENSP00000296350",5,50.5101780011269,"MELTF"
"9606.ENSP00000296504",6,214.605478653939,"SAP30"
"9606.ENSP00000296632",4,39.2217080565977,"STARD4"
"9606.ENSP00000296695",3,7.82802250293419,"SPINK1"
"9606.ENSP00000296861",9,494.938960755399,"TNFRSF21"
"9606.ENSP00000296871",87,2961.9077144736,"CSF2"
"9606.ENSP00000297282",1,0,"SLC13A4"
"9606.ENSP00000297477",4,236.193860147736,"TMEM184A"
"9606.ENSP00000297581",4,0,"DCSTAMP"
"9606.ENSP00000297596",3,67.3700706794495,"GEM"
"9606.ENSP00000297679",5,959.253466467471,"HSD3B7"
"9606.ENSP00000298299",6,2100.97943804289,"ZNF22"
"9606.ENSP00000298386",1,0,"RXFP2"
"9606.ENSP00000299238",1,0,"HPS6"
"9606.ENSP00000299367",7,126.134308710034,"C2"
"9606.ENSP00000299759",7,762.094531101465,"RRAD"
"9606.ENSP00000300056",6,2524.23468111183,"PEX11A"
"9606.ENSP00000300131",10,231.819893207473,"NAB2"
"9606.ENSP00000300900",6,266.0791977936,"CA4"
"9606.ENSP00000300952",2,6.60934231125269,"MIDN"
"9606.ENSP00000301178",22,1146.02042244137,"AXL"
"9606.ENSP00000301286",2,936,"PLIN4"
"9606.ENSP00000301332",5,100.746597681403,"KIFC2"
"9606.ENSP00000301599",3,51.197630264678,"TMEM88"
"9606.ENSP00000301956",2,487.099107315513,"ACSM1"
"9606.ENSP00000302079",26,706.864842790238,"C3AR1"
"9606.ENSP00000302621",4,7.70753747941761,"LRG1"
"9606.ENSP00000302833",5,0,"GIMAP1"
"9606.ENSP00000303192",2,25.6469916324636,"RGL1"
"9606.ENSP00000303211",13,806.05610159035,"ACHE"
"9606.ENSP00000303525",2,24.7578854460196,"CBR4"
"9606.ENSP00000303549",2,34.9968856802032,"GPR82"
"9606.ENSP00000303584",3,7.19036828858856,"N6AMT1"
"9606.ENSP00000303766",1,0,"HTRA3"
"9606.ENSP00000304032",1,0,"STARD5"
"9606.ENSP00000304108",1,0,"FAM171B"
"9606.ENSP00000304286",5,237.891895189694,"FOXI1"
"9606.ENSP00000304501",15,942.382029258786,"ADORA2B"
"9606.ENSP00000304767",9,253.854275346699,"P2RY1"
"9606.ENSP00000304956",1,0,"MN1"
"9606.ENSP00000305107",9,820.910618944445,"GIMAP8"
"9606.ENSP00000305204",11,240.795207485239,"CKAP2L"
"9606.ENSP00000305288",6,998.985595034499,"NLGN2"
"9606.ENSP00000305416",20,257.218910688404,"S1PR1"
"9606.ENSP00000305422",63,4807.40554886843,"CEBPB"
"9606.ENSP00000305906",6,304.318597726504,"UTF1"
"9606.ENSP00000306015",2,174.239917142472,"SYNPO2"
"9606.ENSP00000306190",28,1078.31328077819,"SLAMF1"
"9606.ENSP00000306245",111,22633.3496003087,"FOS"
"9606.ENSP00000306328",3,945.652520830397,"SLC25A33"
"9606.ENSP00000306512",129,6873.61354306321,"CXCL8"
"9606.ENSP00000307046",17,684.401185528944,"SDC2"
"9606.ENSP00000307305",8,27.1091358581114,"DDIT4"
"9606.ENSP00000307513",2,0,"MRC2"
"9606.ENSP00000307900",9,2326.93454344795,"GLUL"
"9606.ENSP00000307975",3,435.923383062829,"METTL18"
"9606.ENSP00000308149",1,0,"AMZ1"
"9606.ENSP00000308318",4,42.4128020752514,"PPP1R3B"
"9606.ENSP00000308330",1,0,"MYEOV"
"9606.ENSP00000308354",1,0,"TIGD3"
"9606.ENSP00000308452",4,207.452409978256,"KRT17"
"9606.ENSP00000308759",1,0,"ZBTB21"
"9606.ENSP00000309116",8,11.6779255758729,"PTPN7"
"9606.ENSP00000309124",19,465.311382957302,"OLR1"
"9606.ENSP00000309338",2,0,"CLCF1"
"9606.ENSP00000309463",2,68.7254364249178,"LIPT2"
"9606.ENSP00000309767",6,0,"NLRP6"
"9606.ENSP00000309790",14,805.237835288801,"MIS18BP1"
"9606.ENSP00000310003",5,757.222267086202,"CNIH2"
"9606.ENSP00000310170",42,2226.20811218849,"FOSL1"
