"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KIF23",33.247274751233,-1.83426260925439,0.421345178558299,-4.35334899412072,1.3407345741673e-05,0.000156620977956753
"ATP5MC2P3",13.4608885459083,-1.83285724242984,0.573326156859786,-3.19688404322723,0.00138920760215628,0.00720997532943374
"ZNF563",8.29059111112968,-1.82891193679793,0.636636441788673,-2.87277293090461,0.0040688644974699,0.017235907125592
"ZNF2",23.1326377183684,-1.80631877532462,0.5480530510151,-3.29588307551426,0.000981128401172525,0.00542341754574388
"ATP5PBP1",5.04379570862109,-1.79296656261287,0.708565144552185,-2.53041879973651,0.0113926451574407,0.0399022195795068
"WNT5B",46.6352198606917,-1.78885288808317,0.341034504823361,-5.24537213326759,1.55967197935953e-07,3.90202367010032e-06
"AOAH-IT1",9.17261657830346,-1.78087412434383,0.51420461433327,-3.46335694916497,0.000533480175367306,0.00326905509041635
"CSMD1",47.4962236278024,-1.76084403586271,0.712879728280482,-2.47004363570556,0.0135096571844918,0.0457624885789907
"RPL35AP2",10.1384116124668,-1.75329884914678,0.684626005616761,-2.56095858872215,0.0104383797715273,0.0371433908566734
"C17ORF80",70.6158401351456,-1.74832910648599,0.303361663033673,-5.76318407870781,8.25416833265756e-09,3.76567403370705e-07
"ADGRE4P",183.077840832455,-1.74055738202535,0.604274018970617,-2.88041075303949,0.00397157375914203,0.0168730406474884
"ERVW-1",7.31040109536238,-1.73489319482245,0.644420509372382,-2.69217563623496,0.00709875501622662,0.0272200326697013
"COL10A1",6.44227403726491,-1.72347135007645,0.675178147604894,-2.55261719620258,0.010691693305656,0.0378259470817714
"DDX50P1",4.29621356607699,-1.72230147432257,0.649025365163252,-2.6536735954678,0.00796208038589082,0.029831461861693
"ADORA3",10.1480989178748,-1.71359512608677,0.5337914498459,-3.21023337219333,0.00132627246514836,0.006950072924006
"SLC13A4",18.1626613459566,-1.71162118494347,0.39409430012712,-4.34317670768487,1.40437083292393e-05,0.000162775613500305
"RPS12P27",2.93532019372338,-1.70947163369469,0.697026326700407,-2.45252089944295,0.014185913849276,0.047628144408693
"DCAF13P3",3.71862913409211,-1.70185534102752,0.648664338163065,-2.62363019038006,0.00869981887586575,0.0320502621040259
"GEMIN6",76.0986839495964,-1.70109777876138,0.240246936781038,-7.08062213634701,1.43508718254149e-12,2.87630170361518e-10
"ZNF780B",68.8254625680381,-1.69147095238593,0.313994682711533,-5.38694138951355,7.16667914114848e-08,2.10955812738955e-06
"N4BP2L2-IT2",53.2607741306251,-1.69022242791931,0.267581915530881,-6.31665419004838,2.67286758550627e-10,2.27912602421227e-08
"IL17RB",18.4555724281433,-1.68998173549594,0.381091207779184,-4.43458600198189,9.22493891033092e-06,0.000114672097757828
"GOLGA5P1",3.88175431365536,-1.65994047414241,0.661949647001338,-2.50765368885989,0.012153571596763,0.0420294634690601
"HSD3BP5",12.8847715398508,-1.64813379906399,0.381786340775367,-4.31690090252262,1.58235154313217e-05,0.000178645486242985
"HILPDA",14.6497623107081,-1.64690697750747,0.382974572178184,-4.30030372027212,1.70564183800969e-05,0.000189920343985123
"CCR2",2064.62593594745,-1.64215903506279,0.364306873655386,-4.5076257238456,6.55570858973991e-06,8.62394762712246e-05
"FTOP1",12.2213795467923,-1.6317864631651,0.436111065218167,-3.74167636023816,0.000182796828824359,0.00135019868843433
"BANF1P3",5.28936813646058,-1.61212780795227,0.546013956695526,-2.9525395609095,0.00315171682108829,0.0140060599538049
"LINC00622",8.21823592392833,-1.59292553161766,0.463965946803928,-3.43328113321823,0.000596323431983304,0.00359103340836795
"MARCKSL1P1",6.93778412589014,-1.58266487746882,0.603115656095492,-2.624148223435,0.00868659729404419,0.0320081641254204
"PGBD2",103.212440647482,-1.57775794006373,0.242092950151171,-6.51715772424818,7.16520744986538e-11,7.79347381040845e-09
"TRGV7",12.1741590785488,-1.55400965183071,0.527854001193119,-2.94401415603207,0.00323985180257421,0.0142979902163084
"RHPN1-AS1",6.31584982633151,-1.5513047362836,0.62233715770338,-2.49270787881026,0.0126773097321776,0.0434796867914987
"INSYN2B",19.4272932596583,-1.54925088158031,0.45672412691104,-3.39209336729888,0.000693608004473746,0.00407797613177412
"TTC41P",4.58079782215792,-1.53766459487495,0.626019849478693,-2.4562553346438,0.0140393365513299,0.0472694762934358
"ARHGEF38",6.98650267112314,-1.53185153564585,0.561941126904173,-2.72600004218427,0.00641069901555307,0.0251207635588874
"C6ORF163",11.9849654673071,-1.52513000657689,0.493956059373765,-3.0875823418594,0.00201791858368008,0.00980273194326939
"HPS6",365.540891730909,-1.52343906533091,0.249247277244982,-6.11215930689403,9.82919882227038e-10,6.51796463166019e-08
"SYCP3",6.69177292321571,-1.52048690418588,0.5115703790378,-2.97219496376182,0.00295678859034143,0.01328543951499
"MRPS31",132.921031135432,-1.51274895597297,0.224056737592407,-6.751633413162,1.46189870527202e-11,2.19137387433969e-09
"APOL4",24.5084145410113,-1.51230996919764,0.465251140791074,-3.25052393558075,0.00115192571312761,0.00618358437278675
"C9ORF64",163.19121560263,-1.51064572598324,0.304780692005187,-4.9565007417121,7.17740935297611e-07,1.36347846686249e-05
"CD200R1",71.2789393639399,-1.50614031889705,0.37815395702989,-3.98287599771964,6.80862851860479e-05,0.000596231298551165
"ZNF571",10.360801335391,-1.49672230441322,0.414274751968059,-3.61287357557484,0.000302822369599177,0.00202996821830519
"PREPL",155.674430705974,-1.49271273589921,0.232388046074103,-6.42336282402073,1.33296266145011e-10,1.30370273409358e-08
"KLRD1",18.9955218414919,-1.48907909334329,0.476096109476376,-3.12768590984921,0.00176188353622437,0.00878872441811248
