"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF510",96.1947462619188,-0.37326607607398,0.192719636411019,-1.93683468392346,0.0527655546999874,0.133224623459077
"CD48",1230.72412122309,-0.207454509398616,0.107124904412837,-1.93656657651827,0.0527983469319159,0.133288552585836
"GTPBP8",91.2437699923735,-0.300489299026265,0.155177179239989,-1.93642712477422,0.0528154100149683,0.133310578649641
"KIFC1",10.8648199022738,0.682765908703323,0.352600384864253,1.9363731238302,0.0528220187182232,0.133310578649641
"PPP2R5E",815.171430045611,-0.139969193196582,0.0723022266387226,-1.93589049333121,0.0528811143395453,0.133423249862682
"RN7SL113P",3.92589323823146,-1.2635722273356,0.652720803079806,-1.93585407631187,0.0528855756570441,0.133423249862682
"MYO7A",331.152173574748,0.255340342344898,0.131902575684478,1.9358252939328,0.0528891019048674,0.133423249862682
"RGPD2",17.2555424646513,1.69215584408397,0.874199613733461,1.93566299675796,0.0529089892781031,0.13345454620232
"LINC00945",3.79634386373181,-1.40387628797943,0.725305049537663,-1.93556668173524,0.0529207943652331,0.133465450288
"INCA1",51.5831621983406,-0.472338569248493,0.244069923946569,-1.93525921428933,0.0529584945966647,0.133541649224668
"CCNE2",30.6100077120605,-0.412697788686444,0.213272287841646,-1.93507460750302,0.0529811410045793,0.133579871835998
"LINC02352",36.3656410878289,0.390067019335772,0.201592439507659,1.93492881126106,0.0529990320956976,0.133606095890765
"UBQLN1",2039.50553598484,0.192847766048083,0.0996722608247437,1.93481881972329,0.0530125328254705,0.13362124636721
"PCOLCE",61.5699894827823,0.388140256093199,0.20062049454977,1.93469892975919,0.0530272517942275,0.133639462772737
"FOXO4",815.607488488257,-0.145614943256058,0.0752741744509859,-1.93446084687218,0.0530564915083965,0.133675380724121
"MACO1",439.162173402965,0.352869216294171,0.182409998795977,1.93448395714782,0.0530536526719618,0.133675380724121
"UBE3D",16.2725107335268,-0.687192373040138,0.355249333354644,-1.9343945463625,0.053064636481792,0.133677020980399
"FHIP2A",441.785896427977,0.367363712709372,0.189985521113078,1.93364057722441,0.053157334601048,0.133891631546667
"WDR45",281.131562971408,0.262919747742467,0.135976508329195,1.93356742994125,0.0531663350225766,0.133895395190275
"CYP4F12",1.15807016472946,2.58121367022358,1.33500840312267,1.93348121568819,0.0531769449064484,0.133903210508361
"MAPK9",564.937917769405,-0.14667997325125,0.0758769168368917,-1.9331303822816,0.053220138167586,0.133993059228426
"FAM124A",5.33482314425605,1.12192573038281,0.580424674964037,1.93293941277104,0.0532436619159308,0.134033367380239
"ZNF426-DT",4.50335200388186,1.19363348955805,0.617549524587852,1.9328546813386,0.0532541019702662,0.134040732460224
"HSPE1P26",4.35675320535692,1.99821741134867,1.03438765662993,1.93178775726977,0.0533857077866378,0.134334074692911
"PTTG2",3.34392649008152,-1.52135151097853,0.787510693149167,-1.93184870277102,0.0533781828088896,0.134334074692911
"BFAR",843.947539225841,0.234824471692419,0.121569520064261,1.93160647149296,0.0534080964883506,0.1343714562989
"TK2",559.175708540177,-0.225353586781602,0.116690185072071,-1.93121286629563,0.0534567335283297,0.13447485723852
"SNORD89",29.3861464317488,0.779544464355669,0.40370485653595,1.93097618652564,0.0534859973987819,0.134491573385885
"ASIC4",2.10946974633819,1.61141691632661,0.834476660659725,1.93105091166079,0.0534767566908257,0.134491573385885
"CADM4",49.7153227120215,0.405789795941084,0.210141551686753,1.93103073944164,0.0534792511094368,0.134491573385885
"SRGAP3",62.9053666455789,-0.390158854091494,0.202108552709554,-1.93044207610642,0.0535520857432858,0.134627685976083
"PSMB3",1922.66199399826,0.173389337692685,0.0898196405966567,1.93041673893247,0.0535552225409958,0.134627685976083
"EEF1AKMT4",8.42464293214936,-0.773423735622454,0.400767019767029,-1.92985873955411,0.0536243429944479,0.134782447560231
