"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902555","endoribonuclease complex","14/4608","34/19979",0.411764705882353,1.78529667075163,2.50921209800769,0.0141367966547123,0.0688831174576746,0.0688831174576746,"POP7/AGO4/RPP40/DICER1/AGO3/POP1/AGO2/RPP25L/RPP25/AGO1/TSEN2/RPP38/POP5/ERN1",14
"GO:0005925","focal adhesion","112/4608","403/19979",0.277915632754342,1.20496450234353,2.2758853257916,0.014630567036302,0.0708378720428546,0.0708378720428546,"SCARF2/ICAM1/PLEC/RALA/FHL1/TRIP6/ARHGEF2/PEAK3/WASF1/EZR/TPM4/SHC1/CD81/RPS2/YWHAQ/TGM2/HSPA9/DAG1/PDLIM7/SYNPO2/PAK1/ITGA3/ADAM9/HNRNPK/FZD2/TGFB1I1/VASP/ITGB8/MPZL1/HSP90B1/CFL1/RHOG/ATP6V0C/ANXA5/GNB2/CBL/ADGRE5/ARPC5L/PRUNE1/HSPB1/ACTB/BLOC1S6/TLN2/PPP1CB/DLC1/CYBA/RAB10/ADAM17/ARF1/RPS15/PLAU/HSPA1B/CTNNB1/PDCD6IP/PABPC1/ARPC1B/CASS4/GNA13/STARD8/RPS19/TNS1/PDLIM1/MAPRE1/YWHAZ/ALCAM/RAC1/ALOX15B/MAPK1/SDC4/ADGRB1/DNM2/RAC2/HYOU1/RHOB/RRAS2/FLNA/ARF6/PPP1R12A/ACTN4/VIM/RHOA/MME/ACTG1/VCL/SRC/NECTIN2/L1CAM/PALLD/KIF23/PLAUR/GDI2/ZYX/GNA12/ACTN1/FLOT1/PPP1CC/RDX/SNTB2/HSPA8/HMGA1/FLT1/ITGB7/MRC2/AHNAK/CLASP1/LIMS2/HSPA1A/PFN1/NEDD9/LRP1/GIT2/MARCKS",112
"GO:0048188","Set1C/COMPASS complex","7/4608","13/19979",0.538461538461538,2.3346187232906,2.63550918636786,0.0156260247735405,0.0751818173066571,0.0751818173066571,"SETD1A/HCFC1/RBBP5/ASH2L/HCFC2/CXXC1/DPY30",7
"GO:0005767","secondary lysosome","12/4608","28/19979",0.428571428571429,1.85816592261905,2.48799283073933,0.015836301716151,0.0752470236823322,0.0752470236823322,"ADAM8/LAMP1/FTH1/SQSTM1/NCOA4/MAP1LC3A/PLEKHM1/HLA-DRA/FTL/PIK3C3/LRRK2/STX17",12
"GO:0030686","90S preribosome","12/4608","28/19979",0.428571428571429,1.85816592261905,2.48799283073933,0.015836301716151,0.0752470236823322,0.0752470236823322,"SRFBP1/NOC4L/WDR12/UTP6/NOC2L/RRP36/IMP3/WDR3/BMS1/SLX9/MPHOSPH10/UTP18",12
"GO:0035577","azurophil granule membrane","21/4608","58/19979",0.362068965517241,1.56982983117816,2.37949495655045,0.0162260377904745,0.0766229562327963,0.0766229562327962,"CMTM6/VAPA/CD63/LAMP1/DNAJC13/CKAP4/B4GALT1/SURF4/RAB3D/ARL8A/ATP6V0C/C3AR1/RAB37/FPR1/TOM1/BRI3/RAB5C/LPCAT1/AZU1/CEACAM8/MANBA",21
"GO:0061702","canonical inflammasome complex","8/4608","16/19979",0.5,2.16786024305556,2.55869865277469,0.0168219406800568,0.0789495988971989,0.0789495988971989,"DDX3X/NLRC4/CARD8/NLRP1/NLRP3/NLRP6/AIM2/DHX33",8
"GO:0043601","nuclear replisome","10/4608","22/19979",0.454545454545455,1.97078203914141,2.49440301474357,0.0170336789843284,0.0794558806281174,0.0794558806281174,"RPA2/POLD3/POLA1/MCM3/POLA2/HELB/SMARCAL1/PRIM1/RPA1/PLRG1",10
"GO:0032587","ruffle membrane","33/4608","101/19979",0.326732673267327,1.416621544967,2.2982498855914,0.0172057854509287,0.0797722779997606,0.0797722779997606,"ARHGEF2/EZR/PAK1/MTMR6/CFL1/AKT2/INPP5K/PLEK/RASGRP2/PLEKHO1/DLC1/PPP1R9B/ADAM17/C2CD5/MTMR9/APC/SPRY2/SYNJ2/PSD/FGD2/EPS8/MACF1/RAC1/MYO1C/CIB1/CDKL5/CLCN3/SH3BGRL3/PDE4A/RHOA/SRC/IFIT5/ARF4",33
"GO:0005793","endoplasmic reticulum-Golgi intermediate compartment","43/4608","138/19979",0.311594202898551,1.35098536886071,2.26531163634331,0.0175033446693498,0.0806630040485095,0.0806630040485095,"ATP6AP1/CTSZ/SERPINA1/TMED10/CNIH2/TMEM203/SURF4/SPPL3/CD55/PRRG4/MTMR6/CSNK1D/RAB43/RAB37/MCFD2/GJB2/TAPBP/SCYL1/CLN8/IST1/YKT6/MGAT4B/RAB1B/TMED4/TRAPPC2/PLPP3/NUCB1/CNIH4/TRIP11/TAP2/DCSTAMP/LMAN2L/GORASP1/SEC23IP/CA4/ASPSCR1/UGGT1/STX17/ZDHHC9/TMED5/SERPINH1/ATP2A1/GOSR2",43
"GO:0031461","cullin-RING ubiquitin ligase complex","70/4608","241/19979",0.29045643153527,1.2593379005302,2.21770674820742,0.0179322135147396,0.0821445708908729,0.0821445708908729,"CUL4B/KLHL26/FBXO7/KBTBD3/DCAF12/FBXL4/SKP2/ANAPC1/DCAF16/ANAPC7/TRIM21/TRPC4AP/FBH1/FBXO4/DCAF7/SKP1/KLHL21/MAD2L2/ANAPC16/KLHL12/KLHL29/IVNS1ABP/ANKRD9/FEM1B/DCAF10/SPOP/ARIH1/KBTBD8/CUL2/FBXW7/KLHL7/CDKN1B/ANAPC2/KLHL17/ARMC5/DET1/KLHL13/ELOC/CACYBP/ZYG11B/FEM1C/FZR1/SPSB2/PCMTD1/KLHDC10/FBXO45/KLHL6/KLHL42/KBTBD6/FBXL12/LRRC58/FBXL14/KBTBD7/CAND1/CUL4A/DCAF17/PEF1/KLHDC3/ASB7/KBTBD2/FBXW11/DCAF15/ERCC8/UBE2S/CDC26/CDC23/KLHL25/DDA1/KLHL8/APPBP2",70
"GO:0030684","preribosome","34/4608","105/19979",0.323809523809524,1.40394758597884,2.27226093562484,0.0181218341552835,0.0825190662428088,0.0825190662428088,"FTSJ3/SRFBP1/PDCD11/RRS1/NOC4L/WDR12/DNTTIP2/XRCC5/PPAN/NOL10/UTP15/UTP6/PNO1/EMG1/NOC2L/RRP36/WDR46/RCL1/NGDN/RPS19/IMP3/WDR3/BMS1/FCF1/SLX9/KRR1/PRKDC/NOP56/NOB1/DHX37/RIOK2/MPHOSPH10/RIOK3/UTP18",34
"GO:0000152","nuclear ubiquitin ligase complex","17/4608","45/19979",0.377777777777778,1.63793885030864,2.34568267187233,0.0187334431395839,0.0843004941281274,0.0843004941281274,"PCGF6/ANAPC1/ANAPC7/RING1/RNF2/MAD2L2/ANAPC16/BRCC3/CBX8/ANAPC2/BRCA1/FZR1/CBX6/UBE2S/CDC26/CDC23/PCGF3",17
"GO:0043596","nuclear replication fork","17/4608","45/19979",0.377777777777778,1.63793885030864,2.34568267187233,0.0187334431395839,0.0843004941281274,0.0843004941281274,"RPA2/POLD3/POLA1/BAZ1B/PCNA/MCM3/ZMIZ2/PARP1/POLA2/HELB/ETAA1/SMARCAL1/PRIM1/RPA1/PLRG1/SMARCAD1/EME2",17
"GO:0030119","AP-type membrane coat adaptor complex","16/4608","42/19979",0.380952380952381,1.65170304232804,2.3148649941649,0.0204311600967538,0.0914025583275828,0.0914025583275828,"BTBD8/VPS33A/AP4E1/AP1G2/VPS41/AP5B1/SGIP1/AFTPH/AP1G1/EPS15/AP3M1/AP5M1/VPS18/AP3S2/AP5Z1/SYNRG",16
"GO:0099523","presynaptic cytosol","12/4608","29/19979",0.413793103448276,1.79409123563218,2.34303690940934,0.0214613184386097,0.0954529570089325,0.0954529570089325,"ARL6IP5/FUS/USP14/CALM2/SUMO1/PIAS1/CALM3/FBXO45/STXBP1/GDI1/LRRK2/PNKD",12
"GO:0097431","mitotic spindle pole","15/4608","39/19979",0.384615384615385,1.66758480235043,2.28484817027842,0.0222562942017275,0.0978263780243941,0.0978263780243941,"CNTRL/KATNBL1/SMC1A/NIN/KAT5/MAP10/RMDN2/HSF1/RMDN3/RMDN1/YPEL5/SMC3/MAPRE1/SPAG5/GPSM2",15
"GO:1905348","endonuclease complex","15/4608","39/19979",0.384615384615385,1.66758480235043,2.28484817027842,0.0222562942017275,0.0978263780243941,0.0978263780243941,"POP7/AGO4/RPP40/DICER1/AGO3/POP1/AGO2/RPP25L/RPP25/AGO1/TSEN2/RPP38/EME2/POP5/ERN1",15
